Time	Channel A	Channel B
(s)	(mV)	(V)

1.13450005	3.56456200	2.01757900
1.13500005	3.56456200	2.01757900
1.13550005	3.56456200	2.01757900
1.13600005	3.56456200	2.01757900
1.13650005	3.56456200	2.01757900
1.13700005	3.56456200	2.01757900
1.13750005	3.56456200	2.01757900
1.13800005	3.56456200	2.01757900
1.13850005	3.56456200	2.01757900
1.13900005	3.56456200	2.01757900
1.13950005	3.11746600	2.01757900
1.14000005	3.56456200	2.01757900
1.14050005	3.56456200	2.01757900
1.14100005	3.56456200	2.01757900
1.14150005	3.56456200	2.01757900
1.14200005	3.56456200	2.01757900
1.14250005	3.56456200	2.01757900
1.14300005	3.56456200	2.01757900
1.14350005	3.56456200	2.01757900
1.14400005	3.56456200	2.01757900
1.14450005	3.56456200	2.01757900
1.14500005	3.56456200	2.01757900
1.14550005	3.56456200	2.01757900
1.14600005	3.56456200	2.01757900
1.14650005	3.11746600	2.01757900
1.14700005	3.56456200	2.01757900
1.14750005	3.56456200	2.01757900
1.14800005	3.56456200	2.01757900
1.14850005	3.56456200	2.01757900
1.14900005	3.56456200	2.01757900
1.14950005	3.56456200	2.01757900
1.15000005	3.56456200	2.01757900
1.15050005	3.56456200	2.01757900
1.15100005	3.56456200	2.01757900
1.15150005	3.56456200	2.01757900
1.15200005	3.56456200	2.01757900
1.15250005	3.56456200	2.01757900
1.15300005	3.56456200	2.01757900
1.15350005	3.56456200	2.01757900
1.15400005	3.56456200	2.01757900
1.15450005	3.11746600	2.01757900
1.15500005	3.56456200	2.01757900
1.15550005	3.56456200	2.01757900
1.15600005	3.56456200	2.01757900
1.15650005	3.56456200	2.01757900
1.15700005	3.11746600	2.01757900
1.15750005	3.11746600	2.01757900
1.15800006	3.56456200	2.01757900
1.15850006	3.11746600	2.01757900
1.15900006	3.56456200	2.01757900
1.15950006	3.56456200	2.01757900
1.16000006	3.56456200	2.01757900
1.16050006	3.56456200	2.01757900
1.16100006	3.56456200	2.01757900
1.16150006	3.56456200	2.01757900
1.16200006	3.56456200	2.01757900
1.16250006	3.56456200	2.01757900
1.16300006	3.11746600	2.01757900
1.16350006	3.56456200	2.01757900
1.16400006	3.56456200	2.01757900
1.16450006	3.56456200	2.01757900
1.16500006	3.56456200	2.01757900
1.16550006	3.11746600	2.01757900
1.16600006	3.11746600	2.01757900
1.16650006	3.56456200	2.01757900
1.16700006	3.56456200	2.01757900
1.16750006	3.56456200	2.01757900
1.16800006	3.56456200	2.01757900
1.16850006	3.56456200	2.01757900
1.16900006	3.56456200	2.01757900
1.16950006	3.56456200	2.01757900
1.17000006	3.56456200	2.01757900
1.17050006	3.56456200	2.01757900
1.17100006	3.56456200	2.01757900
1.17150006	3.56456200	2.01757900
1.17200006	3.56456200	2.01757900
1.17250006	3.11746600	2.01757900
1.17300006	3.56456200	2.01757900
1.17350006	3.56456200	2.01757900
1.17400006	3.11746600	2.01757900
1.17450006	3.56456200	2.01757900
1.17500006	3.56456200	2.01757900
1.17550006	3.56456200	2.01757900
1.17600006	3.56456200	2.01757900
1.17650006	3.56456200	2.01757900
1.17700006	3.11746600	2.01757900
1.17750006	3.56456200	2.01757900
1.17800006	3.56456200	2.01757900
1.17850006	3.56456200	2.01757900
1.17900006	3.56456200	2.01757900
1.17950006	3.56456200	2.01757900
1.18000006	3.56456200	2.01757900
1.18050006	3.56456200	2.01757900
1.18100006	3.11746600	2.01757900
1.18150006	3.56456200	2.01757900
1.18200006	3.56456200	2.01757900
1.18250006	3.56456200	2.01757900
1.18300006	3.11746600	2.01757900
1.18350006	3.56456200	2.01757900
1.18400006	3.56456200	2.01757900
1.18450006	3.56456200	2.01757900
1.18500006	3.11746600	2.01757900
1.18550006	3.56456200	2.01757900
1.18600006	3.56456200	2.01757900
1.18650006	3.56456200	2.01757900
1.18700006	3.56456200	2.01757900
1.18750006	3.56456200	2.01757900
1.18800006	3.56456200	2.01757900
